GR;PODGR;RODZ;TYP;OPIS;NR_ODPADU
12;01;17;B;Odpady poszlifierskie inne ni¿ wymienione w 12 01 16;507
12;01;18;N;Szlamy z obróbki metali zawieraj¹ce oleje (np. szlamy z szlifowania, g³adzenia i pokrywania);508
12;01;19;N;Oleje z obróbki metali ³atwo ulegaj¹ce biodegradacji;509
12;01;20;N;Zu¿yte materia³y szlifierskie zawieraj¹ce substancje niebezpieczne;510
12;01;21;B;Zu¿yte materia³y szlifierskie inne ni¿ wymienione w 12 01 20;511
12;01;99;B;Inne nie wymienione odpady;512
12;03;;B;Odpady z odt³uszczania wod¹ i par¹ (z wy³¹czeniem grupy 11);513
12;03;01;N;Wodne ciecze myj¹ce;514
12;03;02;N;Odpady z odt³uszczania par¹;515
13;;;B;Oleje odpadowe i odpady ciek³ych paliw (z wy³¹czeniem olejów jadalnych oraz grup 05, 12 i 19);516
13;01;;B;Odpadowe oleje hydrauliczne;517
13;01;01;N;Oleje hydrauliczne zawieraj¹ce PCB;518
13;01;04;N;Emulsje olejowe zawieraj¹ce zwi¹zki chlorowcoorganiczne;519
13;01;05;N;Emulsje olejowe nie zawieraj¹ce zwi¹zków chlorowcoorganicznych;520
13;01;09;N;Mineralne oleje hydrauliczne zawieraj¹ce zwi¹zki chlorowcoorganiczne;521
13;01;10;N;Mineralne oleje hydrauliczne nie zawieraj¹ce zwi¹zków chlorowcoorganicznych;522
13;01;11;N;Syntetyczne oleje hydrauliczne;523
13;01;12;N;Oleje hydrauliczne ³atwo ulegaj¹ce biodegradacji;524
13;01;13;N;Inne oleje hydrauliczne;525
13;02;;B;Odpadowe oleje silnikowe, przek³adniowe i smarowe;526
13;02;04;N;Mineralne oleje silnikowe, przek³adniowe i smarowe zawieraj¹ce zwi¹zki chlorowcoorganiczne;527
13;02;05;N;Mineralne oleje silnikowe, przek³adniowe i smarowe nie zawieraj¹ce zwi¹zków chlorowcoorganicznych;528
13;02;06;N;Syntetyczne oleje silnikowe, przek³adniowe i smarowe;529
13;02;07;N;Oleje silnikowe, przek³adniowe i smarowe ³atwo ulegaj¹ce biodegradacji;530
13;02;08;N;Inne oleje silnikowe, przek³adniowe i smarowe;531
13;03;;B;Odpadowe oleje i ciecze stosowane jako elektroizolatory oraz noœniki ciep³a;532
13;03;01;N;Oleje i ciecze stosowane jako elektroizolatory i noœniki ciep³a zawieraj¹ce PCB;533
13;03;06;N;Mineralne oleje i ciecze stosowane jako elektroizolatory oraz noœniki ciep³a zawieraj¹ce zwi¹zki chlorowcoorganiczne inne ni¿ wymienione w 13 03 01;534
13;03;07;N;Mineralne oleje i ciecze stosowane jako elektroizolatory oraz noœniki ciep³a nie zawieraj¹ce zwi¹zków chlorowcoorganicznych;535
13;03;08;N;Syntetyczne oleje i ciecze stosowane jako elektroizolatory oraz noœniki ciep³a inne ni¿ wymienione w 13 03 01;536
13;03;09;N;Oleje i ciecze stosowane jako elektroizolatory oraz noœniki ciep³a ³atwo ulegaj¹ce biodegradacji;537
13;03;10;N;Inne oleje i ciecze stosowane jako elektroizolatory oraz noœniki ciep³a;538
13;04;;B;Oleje zêzowe;539
13;04;01;N;Oleje zêzowe ze statków ¿eglugi œródl¹dowej;540
13;04;02;N;Oleje zêzowe z nabrze¿y portowych;541
13;04;03;N;Oleje zêzowe ze statków morskich;542
13;05;;B;Odpady z odwadniania olejów w separatorach;543
13;05;01;N;Odpady sta³e z piaskowników i z odwadniania olejów w separatorach;544
13;05;02;N;Szlamy z odwadniania olejów w separatorach;545
13;05;03;N;Szlamy z kolektorów;546
13;05;06;N;Olej z odwadniania olejów w separatorach;547
13;05;07;N;Zaolejona woda z odwadniania olejów w separatorach;548
13;05;08;N;Mieszanina odpadów z piaskowników i z odwadniania olejów w separatorach;549
13;08;;B;Odpady olejowe nie ujête w innych podgrupach;550
13;08;01;N;Olej opa³owy i olej napêdowy;551
13;08;02;N;Inne emulsje;552
13;08;80;B;Zaolejone odpady sta³e ze statków;553
13;08;99;N;Inne nie wymienione odpady;554
14;;;B;Odpady z rozpuszczalników organicznych, ch³odziw i propelentów (z wy³¹czeniem grup 07 i 08);555
14;06;;B;Odpady z rozpuszczalników organicznych, ch³odziw i propelentów w pianach lub aerozolach;556
14;06;01;N;CFC, HCFC, HFC;557
14;06;02;N;Inne chlorowcoorganiczne rozpuszczalniki i mieszaniny rozpuszczalników;558
14;06;03;N;Inne rozpuszczalniki i mieszaniny rozpuszczalników;559
14;06;04;N;Szlamy i odpady sta³e zawieraj¹ce rozpuszczalniki chlorowcoorganiczne;560
14;06;05;N;Szlamy i odpady sta³e zawieraj¹ce inne rozpuszczalniki;561
15;;;B;Odpady opakowaniow;562
15;01;;B;Odpady opakowaniowe (w³¹cznie z selektywnie gromadzonymi komunalnymi odpadami opakowaniowymi;563
15;01;01;B;Opakowania z papieru i tektury;564
15;01;02;B;Opakowania z tworzyw sztucznych;565
15;01;03;B;Opakowania z drewna;566
15;01;04;B;Opakowania z metali;567
15;01;05;B;Opakowania wielomateria³owe;568
15;01;06;B;Zmieszane odpady opakowaniowe;569
15;01;07;B;Opakowania ze szk³a;570
15;01;09;B;Opakowania z tekstyliów;571
15;01;10;N;Opakowania zawieraj¹ce pozosta³oœci substancji niebezpiecznych lub nimi zanieczyszczone (np. œrodkami ochrony roœlin I i II klasy toksycznoœci - bardzo toksyczne i toksyczne);572
15;01;11;N;Opakowania z metali zawieraj¹ce niebezpieczne porowate elementy wzmocnienia konstrukcyjnego (np. azbest), w³¹cznie z pustymi pojemnikami ciœnieniowymi;573
15;02;;B;Sorbenty, materia³y filtracyjne, tkaniny do wycierania i ubrania ochronne;574
15;02;02;N;Sorbenty, materia³y filtracyjne (w tym filtry olejowe nie ujête w innych grupach), tkaniny do wycierania (np. szmaty, œcierki) i ubrania ochronne zanieczyszczone substancjami niebezpiecznymi (np. PCB);575
15;02;03;B;Sorbenty, materia³y filtracyjne, tkaniny do wycierania (np. szmaty, œcierki) i ubrania ochronne inne ni¿ wymienione w 15 02 02;576
16;;;B;Odpady nie ujête w innych grupach;577
16;01;;B;Zu¿yte lub nie nadaj¹ce siê do u¿ytkowania pojazdy (w³¹czaj¹c maszyny pozadrogowe), odpady z demonta¿u, przegl¹du i konserwacji pojazdów (z wy³¹czeniem grup 13 i 14 oraz podgrup 16 06 i 16 08);578
16;01;03;B;Zu¿yte opony;579
16;01;04;N;Zu¿yte lub nie nadaj¹ce siê do u¿ytkowania pojazdy;580
16;01;06;B;Zu¿yte lub nie nadaj¹ce siê do u¿ytkowania pojazdy nie zawieraj¹ce cieczy i innych niebezpiecznych elementów;581
16;01;07;N;Filtry olejowe;582
16;01;08;N;Elementy zawieraj¹ce rtêæ;583
16;01;09;N;Elementy zawieraj¹ce PCB;584
16;01;10;N;Elementy wybuchowe (np. poduszki powietrzne);585
16;01;11;N;Ok³adziny hamulcowe zawieraj¹ce azbest;586
16;01;12;B;Ok³adziny hamulcowe inne ni¿ wymienione w 16 01 11;587
16;01;13;N;P³yny hamulcowe;588
16;01;14;N;P³yny zapobiegaj¹ce zamarzaniu zawieraj¹ce niebezpieczne substancje;589
16;01;15;B;P³yny zapobiegaj¹ce zamarzaniu inne ni¿ wymienione w 16 01 14;590
16;01;16;B;Zbiorniki na gaz skroplony;591
16;01;17;B;Metale ¿elazne;592
16;01;18;B;Metale nie¿elazne;593
16;01;19;B;Tworzywa sztuczne;594
16;01;20;B;Szk³o;595
16;01;21;N;Niebezpieczne elementy inne ni¿ wymienione w 16 01 07 do 16 01 11, 16 01 13 i 16 01 14;596
16;01;22;B;Inne nie wymienione elementy;597
16;01;99;B;Inne nie wymienione odpady;598
16;02;;B;Odpady urz¹dzeñ elektrycznych i elektronicznych;599
16;02;09;N;Transformatory i kondensatory zawieraj¹ce PCB;600
16;02;10;N;Zu¿yte urz¹dzenia zawieraj¹ce PCB albo nimi zanieczyszczone inne ni¿ wymienione w 16 02 09;601
16;02;11;N;Zu¿yte urz¹dzenia zawieraj¹ce freony, HCFC, HFC;602
16;02;12;N;Zu¿yte urz¹dzenia zawieraj¹ce wolny azbest;603
16;02;13;N;Zu¿yte urz¹dzenia zawieraj¹ce niebezpieczne elementy (1) inne ni¿ wymienione w 16 02 09 do 16 02 12;604
16;02;14;B;Zu¿yte urz¹dzenia inne ni¿ wymienione w 16 02 09 do 16 02 13;605
16;02;15;N;Niebezpieczne elementy lub czêœci sk³adowe usuniête z zu¿ytych urz¹dzeñ;606
16;02;16;B;Elementy usuniête z zu¿ytych urz¹dzeñ inne ni¿ wymienione w 16 02 15;607
16;03;;B;Partie produktów nie odpowiadaj¹ce wymaganiom oraz produkty przeterminowane lub nieprzydatne do u¿ytku;608
16;03;03;N;Nieorganiczne odpady zawieraj¹ce substancje niebezpieczne;609
16;03;04;B;Nieorganiczne odpady inne ni¿ wymienione w 16 03 03, 16 03 80;610
16;03;05;N;Organiczne odpady zawieraj¹ce substancje niebezpieczne;611
16;03;06;B;Organiczne odpady inne ni¿ wymienione w 16 03 05, 16 03 80;612
16;03;80;B;Produkty spo¿ywcze przeterminowane lub nieprzydatne do spo¿ycia;613
16;04;;B;Odpady materia³ów wybuchowych;614
16;04;01;N;Odpadowa amunicja;615
16;04;02;N;Odpadowe wyroby pirotechniczne (np. ognie sztuczne);616
16;04;03;N;Inne materia³y wybuchowe;617
16;05;;B;Gazy w pojemnikach ciœnieniowych i zu¿yte chemikalia;618
16;05;04;N;Gazy w pojemnikach (w tym halony) zawieraj¹ce substancje niebezpieczne;619
16;05;05;B;Gazy w pojemnikach inne ni¿ wymienione w 16 05 04;620
16;05;06;N;Chemikalia laboratoryjne i analityczne (np. odczynniki chemiczne) zawieraj¹ce substancje niebezpieczne, w tym mieszaniny chemikaliów laboratoryjnych i analitycznych;621
16;05;07;N;Zu¿yte nieorganiczne chemikalia zawieraj¹ce substancje niebezpieczne (np. przeterminowane odczynniki chemiczne);622
16;05;08;N;Zu¿yte organiczne chemikalia zawieraj¹ce substancje niebezpieczne (np. przeterminowane odczynniki chemiczne);623
16;05;09;B;Zu¿yte chemikalia inne ni¿ wymienione w 16 05 06, 16 05 07 lub 16 05 08;624
16;06;;B;Baterie i akumulatory;625
16;06;01;N;Baterie i akumulatory o³owiowe;626
16;06;02;N;Baterie i akumulatory niklowo-kadmowe;627
16;06;03;N;Baterie zawieraj¹ce rtêæ;628
16;06;04;B;Baterie alkaliczne (z wy³¹czeniem 16 06 03);629
16;06;05;B;Inne baterie i akumulatory;630
16;06;06;N;Selektywnie gromadzony elektrolit z baterii i akumulatorów;631
16;07;;B;Odpady z czyszczenia zbiorników magazynowych, cystern transportowych i beczek (z wyj¹tkiem grup 05 i 13);632
16;07;08;N;Odpady zawieraj¹ce ropê naftow¹ lub jej produkty;633
16;07;09;N;Odpady zawieraj¹ce inne substancje niebezpieczne;634
16;07;99;B;Inne nie wymienione odpady;635
16;08;;B;Zu¿yte katalizatory;636
16;08;01;B;Zu¿yte katalizatory zawieraj¹ce z³oto, srebro, ren, rod, pallad, iryd lub platynê (z wy³¹czeniem 16 08 07);637
16;08;02;N;Zu¿yte katalizatory zawieraj¹ce niebezpieczne metale przejœciowe (2) lub ich niebezpieczne zwi¹zki;638
16;08;03;B;Zu¿yte katalizatory zawieraj¹ce metale przejœciowe lub ich zwi¹zki inne ni¿ wymienione w 16 08 02;639
16;08;04;B;Zu¿yte katalizatory stosowane do katalitycznego krakingu w procesie fluidyzacyjnym (z wy³¹czeniem 16 08 07);640
16;08;05;N;Zu¿yte katalizatory zawieraj¹ce kwas fosforowy;641
16;08;06;N;Zu¿yte ciecze stosowane jako katalizatory;642
16;08;07;N;Zu¿yte katalizatory zanieczyszczone substancjami niebezpiecznymi;643
16;09;;B;Substancje utleniaj¹ce;644
16;09;01;N;Nadmanganiany (np. nadmanganian potasowy);645
16;09;02;N;Chromiany (np. chromian potasowy, dwuchromian sodowy lub potasowy);646
16;09;03;N;Nadtlenki (np. nadtlenek wodoru);647
16;09;04;N;Inne nie wymienione substancje utleniaj¹ce;648
16;10;;B;Uwodnione odpady ciek³e przeznaczone do odzysku lub unieszkodliwiania poza miejscami ich powstawania;649
16;10;01;N;Uwodnione odpady ciek³e zawieraj¹ce substancje niebezpieczne;650
16;10;02;B;Uwodnione odpady ciek³e inne ni¿ wymienione w 16 10 01;651
16;10;03;N;Stê¿one uwodnione odpady ciek³e (np. koncentraty) zawieraj¹ce substancje niebezpieczne;652
16;10;04;B;Stê¿one uwodnione odpady ciek³e (np. koncentraty) inne ni¿ wymienione w 16 10 03;653
16;11;;B;Odpady z ok³adzin piecowych i materia³y ogniotrwa³e;654
16;11;01;N;Wêglopochodne ok³adziny piecowe i materia³y ogniotrwa³e z procesów metalurgicznych zawieraj¹ce substancje niebezpieczne;655
16;11;02;B;Wêglopochodne ok³adziny piecowe i materia³y ogniotrwa³e z procesów metalurgicznych inne ni¿ wymienione w 16 11 01;656
16;11;03;N;Inne ok³adziny piecowe i materia³y ogniotrwa³e z procesów metalurgicznych zawieraj¹ce substancje niebezpieczne;657
16;11;04;B;Ok³adziny piecowe i materia³y ogniotrwa³e z procesów metalurgicznych inne ni¿ wymienione w 16 11 03;658
16;11;05;N;Ok³adziny piecowe i materia³y ogniotrwa³e z procesów niemetalurgicznych zawieraj¹ce substancje niebezpieczne;659
16;11;06;B;Ok³adziny piecowe i materia³y ogniotrwa³e z procesów niemetalurgicznych inne ni¿ wymienione w 16 11 05;660
16;80;;B;Odpady ró¿ne;661
16;80;01;B;Magnetyczne i optyczne noœniki informacji;662
16;81;;B;Odpady powsta³e w wyniku wypadków i zdarzeñ losowych;663
16;81;01;N;Odpady wykazuj¹ce w³aœciwoœci niebezpieczne;664
16;81;02;B;Odpady inne ni¿ wymienione w 16 81 01;665
16;82;;B;Odpady powsta³e w wyniku klêsk ¿ywio³owych;666
16;82;01;N;Odpady wykazuj¹ce w³aœciwoœci niebezpieczne;667
16;82;02;B;Odpady inne ni¿ wymienione w 16 82 01;668
17;;;B;Odpady z budowy, remontów i demonta¿u obiektów budowlanych oraz infrastruktury drogowej (w³¹czaj¹c glebê i ziemiê z terenów zanieczyszczonych);669
17;01;;B;Odpady materia³ów i elementów budowlanych oraz infrastruktury drogowej (np. beton, ceg³y, p³yty, ceramika);670
17;01;01;B;Odpady betonu oraz gruz betonowy z rozbiórek i remontów;671
17;01;02;B;Gruz ceglany;672
17;01;03;B;Odpady innych materia³ów ceramicznych i elementów wyposa¿enia;673
17;01;06;N;Zmieszane lub wysegregowane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia zawieraj¹ce substancje niebezpieczne;674
17;01;07;B;Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materia³ów ceramicznych i elementów wyposa¿enia inne ni¿ wymienione w 17 01 06;675
17;01;80;B;Usuniête tynki, tapety, okleiny itp.;676
17;01;81;B;Odpady z remontów i przebudowy dróg;677
17;01;82;B;Inne nie wymienione odpady;678
17;02;;B;Odpady drewna, szk³a i tworzyw sztucznych;679
17;02;01;B;Drewno;680
17;02;02;B;Szk³o;681
17;02;03;B;Tworzywa sztuczne;682
17;02;04;N;Odpady drewna, szk³a i tworzyw sztucznych zawieraj¹ce lub zanieczyszczone substancjami niebezpiecznymi (podk³ady kolejowe);683
17;03;;B;Odpady asfaltów, smó³ i produktów smo³owych;684
17;03;01;N;Asfalt zawieraj¹cy smo³ê;685
17;03;02;B;Asfalt inny ni¿ wymieniony w 17 03 01;686
17;03;03;N;Smo³a i produkty smo³owe;687
17;03;80;B;Odpadowa papa;688
17;04;;B;Odpady i z³omy metaliczne oraz stopów metali;689
17;04;01;B;MiedŸ, br¹z, mosi¹dz;690
17;04;02;B;Aluminium;691
17;04;03;B;O³ów;692
17;04;04;B;Cynk;693
17;04;05;B;¯elazo i stal;694
17;04;06;B;Cyna;695
17;04;07;B;Mieszaniny metali;696
17;04;09;N;Odpady metali zanieczyszczone substancjami niebezpiecznymi;697
17;04;10;N;Kable zawieraj¹ce ropê naftow¹, smo³ê i inne substancje niebezpieczne;698
17;04;11;B;Kable inne ni¿ wymienione w 17 04 10;699
17;05;;B;Gleba i ziemia (w³¹czaj¹c glebê i ziemiê z terenów zanieczyszczonych oraz urobek z pog³êbiania);700
17;05;03;N;Gleba i ziemia, w tym kamienie, zawieraj¹ce substancje niebezpieczne (np. PCB);701
17;05;04;B;Gleba i ziemia, w tym kamienie, inne ni¿ wymienione w 17 05 03;702
17;05;05;N;Urobek z pog³êbiania zawieraj¹cy lub zanieczyszczony substancjami niebezpiecznymi;703
17;05;06;B;Urobek z pog³êbiania inny ni¿ wymieniony w 17 05 05;704
17;05;07;N;T³uczeñ torowy (kruszywo) zawieraj¹cy substancje niebezpieczne;705
17;05;08;B;T³uczeñ torowy (kruszywo) inny ni¿ wymieniony w 17 05 07;706
17;06;;B;Materia³y izolacyjne oraz materia³y konstrukcyjne zawieraj¹ce azbest;707
17;06;01;N;Materia³y izolacyjne zawieraj¹ce azbest;708
17;06;03;N;Inne materia³y izolacyjne zawieraj¹ce substancje niebezpieczne;709
17;06;04;B;Materia³y izolacyjne inne ni¿ wymienione w 17 06 01 i 17 06 03;710
17;06;05;N;Materia³y konstrukcyjne zawieraj¹ce azbest;711
17;08;;B;Materia³y konstrukcyjne zawieraj¹ce gips;712
17;08;01;N;Materia³y konstrukcyjne zawieraj¹ce gips zanieczyszczone substancjami niebezpiecznymi;713
17;08;02;B;Materia³y konstrukcyjne zawieraj¹ce gips inne ni¿ wymienione w 17 08 01;714
17;09;;B;Inne odpady z budowy, remontów i demonta¿u;715
17;09;01;N;Odpady z budowy, remontów i demonta¿u zawieraj¹ce rtêæ;716
17;09;02;N;Odpady z budowy, remontów i demonta¿u zawieraj¹ce PCB (np. substancje i przedmioty zawieraj¹ce PCB: szczeliwa, wyk³adziny pod³ogowe zawieraj¹ce ¿ywice, szczelne zespo³y okienne, kondensatory);717
17;09;03;N;Inne odpady z budowy, remontów i demonta¿u (w tym odpady zmieszane) zawieraj¹ce substancje niebezpieczne;718
17;09;04;B;Zmieszane odpady z budowy, remontów i demonta¿u inne ni¿ wymienione w 17 09 01, 17 09 02 i 17 09 03;719
18;;;B;Odpady medyczne i weterynaryjne;720
18;01;;B;Odpady z diagnozowania, leczenia i profilaktyki medycznej;721
18;01;01;B;Narzêdzia chirurgiczne i zabiegowe oraz ich resztki (z wy³¹czeniem 18 01 03);722
18;01;02;N;Czêœci cia³a i organy oraz pojemniki na krew i konserwanty s³u¿¹ce do jej przechowywania (z wy³¹czeniem 18 01 03);723
18;01;03;N;Inne odpady, które zawieraj¹ ¿ywe drobnoustroje chorobotwórcze lub ich toksyny oraz inne formy zdolne do przeniesienia materia³u genetycznego, o których wiadomo lub co do których istniej¹ wiarygodne podstawy do s¹dzenia, ¿e wywo³uj¹ choroby u ludzi i zwierz¹t (np. zainfekowane pieluchomajtki, podpaski, podk³ady), z wy³¹czeniem 18 01 80 i 18 01 82;724
18;01;04;B;Inne odpady ni¿ wymienione w 18 01 03;725
18;01;06;N;Chemikalia, w tym odczynniki chemiczne, zawieraj¹ce substancje niebezpieczne;726
18;01;07;B;Chemikalia, w tym odczynniki chemiczne, inne ni¿ wymienione w 18 01 06;727
18;01;08;N;Leki cytotoksyczne i cytostatyczne;728
18;01;09;B;Leki inne ni¿ wymienione w 18 01 08;729
18;01;10;N;Odpady amalgamatu dentystycznego;730
18;01;80;N;Zu¿yte k¹piele lecznicze aktywne biologicznie o w³aœciwoœciach zakaŸnych;731
18;01;81;B;Zu¿yte k¹piele lecznicze aktywne biologicznie inne ni¿ wymienione w 18 01 80;732
18;01;82;N;Pozosta³oœci z ¿ywienia pacjentów oddzia³ów zakaŸnych;733
18;02;;B;Odpady z diagnozowania, leczenia i profilaktyki weterynaryjnej;734
18;02;01;B;Narzêdzia chirurgiczne i zabiegowe oraz ich resztki (z wy³¹czeniem 18 02 02);735
18;02;02;N;Inne odpady, które zawieraj¹ ¿ywe drobnoustroje chorobotwórcze lub ich toksyny oraz inne formy zdolne do przeniesienia materia³u genetycznego, o których wiadomo lub co do których istniej¹ wiarygodne podstawy do s¹dzenia, ¿e wywo³uj¹ choroby u ludzi i zwie;736
18;02;03;B;Inne odpady ni¿ wymienione w 18 02 02;737
18;02;05;N;Chemikalia, w tym odczynniki chemiczne, zawieraj¹ce substancje niebezpieczne;738
18;02;06;B;Chemikalia, w tym odczynniki chemiczne, inne ni¿ wymienione w 18 02 05;739
18;02;07;N;Leki cytotoksyczne i cytostatyczne;740
18;02;08;B;Leki inne ni¿ wymienione w 18 02 07;741
19;;;B;Odpady z instalacji i urz¹dzeñ s³u¿¹cych zagospodarowaniu odpadów, z oczyszczalni œcieków oraz z uzdatniania wody pitnej i wody do celów przemys³owych;742
19;01;;B;Odpady z termicznego przekszta³cania odpadów;743
19;01;02;B;Z³om ¿elazny usuniêty z popio³ów paleniskowych;744
19;01;05;N;Osady filtracyjne (np. placek filtracyjny) z oczyszczania gazów odlotowych;745
19;01;06;N;Szlamy i inne odpady uwodnione z oczyszczania gazów odlotowych;746
19;01;07;N;Odpady sta³e z oczyszczania gazów odlotowych;747
19;01;10;N;Zu¿yty wêgiel aktywny z oczyszczania gazów odlotowych;748
19;01;11;N;¯u¿le i popio³y paleniskowe zawieraj¹ce substancje niebezpieczne;749
19;01;12;B;¯u¿le i popio³y paleniskowe inne ni¿ wymienione w 19 01 11;750
19;01;13;N;Popio³y lotne zawieraj¹ce substancje niebezpieczne;751
